"","state","stateabb","year","rec","med","dec","ill","recballot","recint","medint","medyear","recyear","medyrs"
"1438","New Jersey","NJ",1980,0,0,0,1,1,0,0,2010,2021,-30
"1439","New Jersey","NJ",1994,0,0,0,1,1,0,0,2010,2021,-16
"1440","New Jersey","NJ",2004,0,0,0,1,1,0,0,2010,2021,-6
"1441","New Jersey","NJ",2011,0,1,0,0,1,0,0,2010,2021,1
"1442","New Jersey","NJ",1973,0,0,0,1,1,0,0,2010,2021,-37
"1443","New Jersey","NJ",1992,0,0,0,1,1,0,0,2010,2021,-18
"1444","New Jersey","NJ",2003,0,0,0,1,1,0,0,2010,2021,-7
"1445","New Jersey","NJ",1996,0,0,0,1,1,0,0,2010,2021,-14
"1446","New Jersey","NJ",2013,0,1,0,0,1,0,0,2010,2021,3
"1447","New Jersey","NJ",2009,0,0,0,1,1,0,0,2010,2021,-1
"1448","New Jersey","NJ",1988,0,0,0,1,1,0,0,2010,2021,-22
"1449","New Jersey","NJ",1981,0,0,0,1,1,0,0,2010,2021,-29
"1450","New Jersey","NJ",2005,0,0,0,1,1,0,0,2010,2021,-5
"1451","New Jersey","NJ",2019,0,1,0,0,1,0,0,2010,2021,9
"1452","New Jersey","NJ",1974,0,0,0,1,1,0,0,2010,2021,-36
"1453","New Jersey","NJ",1977,0,0,0,1,1,0,0,2010,2021,-33
"1454","New Jersey","NJ",2015,0,1,0,0,1,0,0,2010,2021,5
"1455","New Jersey","NJ",1983,0,0,0,1,1,0,0,2010,2021,-27
"1456","New Jersey","NJ",1999,0,0,0,1,1,0,0,2010,2021,-11
"1457","New Jersey","NJ",1989,0,0,0,1,1,0,0,2010,2021,-21
"1458","New Jersey","NJ",1982,0,0,0,1,1,0,0,2010,2021,-28
"1459","New Jersey","NJ",1979,0,0,0,1,1,0,0,2010,2021,-31
"1460","New Jersey","NJ",2006,0,0,0,1,1,0,0,2010,2021,-4
"1461","New Jersey","NJ",2017,0,1,0,0,1,0,0,2010,2021,7
"1462","New Jersey","NJ",1991,0,0,0,1,1,0,0,2010,2021,-19
"1463","New Jersey","NJ",2016,0,1,0,0,1,0,0,2010,2021,6
"1464","New Jersey","NJ",1984,0,0,0,1,1,0,0,2010,2021,-26
"1465","New Jersey","NJ",1987,0,0,0,1,1,0,0,2010,2021,-23
"1466","New Jersey","NJ",2014,0,1,0,0,1,0,0,2010,2021,4
"1467","New Jersey","NJ",1986,0,0,0,1,1,0,0,2010,2021,-24
"1468","New Jersey","NJ",1990,0,0,0,1,1,0,0,2010,2021,-20
"1469","New Jersey","NJ",1985,0,0,0,1,1,0,0,2010,2021,-25
"1470","New Jersey","NJ",2018,0,1,0,0,1,0,0,2010,2021,8
"1471","New Mexico","NM",2004,0,0,0,1,0,0,0,2007,2021,-3
"1472","New Mexico","NM",1984,0,0,0,1,0,0,0,2007,2021,-23
"1473","New Mexico","NM",2009,0,1,0,0,0,0,0,2007,2021,2
"1474","New Mexico","NM",2021,1,1,1,0,0,1,0,2007,2021,14
"1475","New Mexico","NM",1989,0,0,0,1,0,0,0,2007,2021,-18
"1476","New Mexico","NM",1999,0,0,0,1,0,0,0,2007,2021,-8
"1477","New Mexico","NM",2014,0,1,0,0,0,0,0,2007,2021,7
"1478","New Mexico","NM",1998,0,0,0,1,0,0,0,2007,2021,-9
"1479","New Mexico","NM",1981,0,0,0,1,0,0,0,2007,2021,-26
"1480","New Mexico","NM",2013,0,1,0,0,0,0,0,2007,2021,6
"1481","New Mexico","NM",1977,0,0,0,1,0,0,0,2007,2021,-30
"1482","New Mexico","NM",1991,0,0,0,1,0,0,0,2007,2021,-16
"1483","New Mexico","NM",2001,0,0,0,1,0,0,0,2007,2021,-6
"1484","New Mexico","NM",1990,0,0,0,1,0,0,0,2007,2021,-17
"1485","New Mexico","NM",1973,0,0,0,1,0,0,0,2007,2021,-34
"1486","New Mexico","NM",1976,0,0,0,1,0,0,0,2007,2021,-31
"1487","New Mexico","NM",1986,0,0,0,1,0,0,0,2007,2021,-21
"1488","New Mexico","NM",2018,0,1,0,0,0,0,0,2007,2021,11
"1489","New Mexico","NM",1997,0,0,0,1,0,0,0,2007,2021,-10
"1490","New Mexico","NM",1982,0,0,0,1,0,0,0,2007,2021,-25
"1491","New Mexico","NM",1985,0,0,0,1,0,0,0,2007,2021,-22
